,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
1069,Closure on CrescentStreet from Adler Place to Campus Place,Closure on CrescentStreet from Adler Place to Campus Place,,Closure on CrescentStreet from Adler Place to Campus Place,Closure on CrescentStreet from Adler Place to Campus Place,CrescentStreet from Adler Place to Campus Place,Updated
1070,Construction on CrescentStreet,,CrescentStreet,,CrescentStreet,,
1071,Closure on CrescentStreet from Ridgewood Avenue to Adler Place,CrescentStreet from Ridgewood Avenue to Adler Place,,Closure on CrescentStreet from Ridgewood Avenue to Adler Place,Closure on CrescentStreet from Ridgewood Avenue to Adler Place,CrescentStreet from Ridgewood Avenue to Adler Place,Updated
1072,Construction on CrescentStreet,,CrescentStreet,Construction on CrescentStreet,CrescentStreet,,
1073,Closure on CrescentStreet from Danforth Street to Kiely Place,Closure on CrescentStreet from Danforth Street to Kiely Place,,Closure on CrescentStreet from Danforth Street to Kiely Place,Closure on CrescentStreet from Danforth Street to Kiely Place,CrescentStreet from Danforth Street to Kiely Place,Updated
1074,Construction on CrescentStreet,Construction on CrescentStreet from Danforth Street to Kiely Place,CrescentStreet,Construction on CrescentStreet,CrescentStreet,,
1075,Closure on CrescentStreet,CrescentStreet from Kiely Place to Rigewood Avenue,,Closure on CrescentStreet from Kiely Place to Rigewood Avenue,Closure on CrescentStreet from Kiely Place to Rigewood Avenue,CrescentStreet from Kiely Place to Rigewood Avenue,Updated
1076,Construction on CrescentStreet,,CrescentStreet,Construction on CrescentStreet,Construction on CrescentStreet,,
1077,Closure on CrescentStreet from Etna Street to Danforth Street,CrescentStreet from Etna Street to Danforth Street,,Closure on CrescentStreet from Etna Street to Danforth Street,Closure on CrescentStreet from Etna Street to Danforth Street,CrescentStreet from Etna Street to Danforth Street,Updated
1078,Construction on CrescentStreet,Construction on CrescentStreet from Etna Street to Danforth Street,CrescentStreet,Construction on CrescentStreet,CrescentStreet,,
1079,Closure on CrescentStreet from Cypress Court to Etna Street,CrescentStreet from Cypress Court to Etna Street,,Closure on CrescentStreet from Cypress Court to Etna Street,Closure on CrescentStreet from Cypress Court to Etna Street,CrescentStreet from Cypress Court to Etna Street,Updated
1080,Closure on LoopParkway Both directions at Long Creek Bridge,,,Long Creek Bridge,Long Creek Bridge,Long Creek Bridge,Cleared
1081,Construction,,CrescentStreet,Construction on CrescentStreet,CrescentStreet,,
1082,Closure on CrescentStreet from Cox Place to Cypress Court,Closure on CrescentStreet from Cox Place to Cypress Court,,Closure on CrescentStreet from Cox Place to Cypress Court,Closure on CrescentStreet from Cox Place to Cypress Court,CrescentStreet from Cox Place to Cypress Court,Updated
1083,Closure on CrescentStreet from Wharton Street to Cox Place,CrescentStreet from Wharton Street to Cox Place,,Closure on CrescentStreet from Wharton Street to Cox Place,Closure on CrescentStreet from Wharton Street to Cox Place,CrescentStreet from Wharton Street to Cox Place,Updated
1084,Construction on CrescentStreet,,CrescentStreet from Cox Place to Cypress Court,Construction on CrescentStreet,CrescentStreet,,
1085,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
1086,Construction on GrandCentralParkway WB from Main Street to Union Turnpike,,GrandCentralParkway WB from Main Street to Union Turnpike,,GrandCentralParkway WB from Main Street to Union Turnpike,,Cleared
1087,Closure on CrescentStreet from Jamaica Avenue to Wharton Place,Closure on CrescentStreet from Jamaica Avenue to Wharton Place,,Closure on CrescentStreet from Jamaica Avenue to Wharton Place,Closure on CrescentStreet from Jamaica Avenue to Wharton Place,CrescentStreet from Jamaica Avenue to Wharton Place,Updated
1088,Construction on CrescentStreet,,CrescentStreet,Construction on CrescentStreet,CrescentStreet,,
1089,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,
1090,Construction on CrescentStreet,,CrescentStreet,Construction on CrescentStreet,CrescentStreet,,
1091,Closure on LincolnTunnel EB,LincolnTunnel EB,,Closure on LincolnTunnel EB,LincolnTunnel EB,LincolnTunnel EB,
1092,Closure on LincolnTunnel,Closure on LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,
1093,Closure on CrescentStreet from Campus Place to Fulton Street,CrescentStreet from Campus Place to Fulton Street,,Closure on CrescentStreet,CrescentStreet from Campus Place to Fulton Street,CrescentStreet from Campus Place to Fulton Street,Updated
1094,Construction on CrescentStreet from Campus Place to Fulton Street,,CrescentStreet,Construction on CrescentStreet,CrescentStreet,,
1095,Closure on LincolnTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,LincolnTunnel WB,,Closure on LincolnTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,New York Side - North Tube to New Jersey Side - North Tube,LincolnTunnel WB,
1096,Construction on CampusPlace from Hemlock Street to Crescent Street,,CampusPlace from Hemlock Street to Crescent Street,,Construction on CampusPlace from Hemlock Street to Crescent Street,,Updated
1097,Construction on ThrogsNeckBridge SB at Queens Bound,,ThrogsNeckBridge SB at Queens Bound,,Construction on ThrogsNeckBridge SB at Queens Bound,,Cleared
1098,,,on CampusPlace from Hemlock Street to Crescent Street,,,,
1099,Construction,,from New York Side to New Jersey Side,Construction on OuterbridgeCrossing WB from New York Side to New Jersey Side,Construction on OuterbridgeCrossing WB from New York Side to New Jersey Side,,
1100,,,,HavenLine,HavenLine,,Updated
1101,,,,NewLine,Incident on NewLine,,
1102,,,PortJersey,,Construction on PortJersey,,
1103,,,PortJersey,,Construction on PortJersey,,
1104,Construction on SandsStreet Both directions at Brooklyn Queens Expressway,Construction on SandsStreet Both directions at Brooklyn Queens Expressway,SandsStreet Both directions at Brooklyn Queens Expressway,Brooklyn Queens Expressway,Brooklyn Queens Expressway,,
1105,Incident on PortNewarkElizabethMarineTerminal,,,PortNewarkElizabethMarineTerminal,PortNewarkElizabethMarineTerminal,,Updated
1106,Cleared: Incident on NewarkLibertyInternationalAirport,,,NewarkLibertyInternationalAirport,NewarkLibertyInternationalAirport,,Cleared
1107,Incident on NewarkLibertyInternationalAirport,,,NewarkLibertyInternationalAirport,NewarkLibertyInternationalAirport,,
1108,Incident on QueensMidtownTunnel WB at Manhattan Bound,,,QueensMidtownTunnel WB at Manhattan Bound,Manhattan Bound,,Cleared
1109,Closure on WestCentralAvenue WB at Maywood Avenue,,,WestCentralAvenue WB at Maywood Avenue,WestCentralAvenue WB at Maywood Avenue,WestCentralAvenue WB at Maywood Avenue,Cleared
1110,Special Event on WaltWhitmanBridge WB,,from New Jersey Side to Pennsylvania Side,from New Jersey Side to Pennsylvania Side,WaltWhitmanBridge WB,,Updated
1111,Incident on QueensMidtownTunnel WB,,,Manhattan Bound,Manhattan Bound,,
1112,Closure on TestHighway Both directions at Test Road,,,,Closure on TestHighway Both directions at Test Road,on TestHighway Both directions at Test Road,Cleared
1113,Incident on PortNewarkElizabethMarineTerminal,,,PortNewarkElizabethMarineTerminal,PortNewarkElizabethMarineTerminal,,
1114,Closure on TestHighway Both directions at Test Road,,,,Closure on TestHighway Both directions at Test Road,on TestHighway Both directions at Test Road,Updated
1115,Incident on PulaskiSkyway SB at South Kearny,,,PulaskiSkyway SB at South Kearny,PulaskiSkyway SB at South Kearny,,Cleared
1116,Cleared: Incident on RFKTriboroughBridge WB,,,RFKTriboroughBridge WB,RFKTriboroughBridge WB,,Cleared
1117,,,MidHudsonBridge EB,,MidHudsonBridge EB,,
1118,,,,,Closure on TestHighway Both directions at Test Road,Test Road,
1119,Construction on GrandCentralParkway WB from Main Street to Union Turnpike,,from Main Street to Union Turnpike,,GrandCentralParkway WB from Main Street to Union Turnpike,,
1120,Closure on WestHudsonAvenue Both directions from Conrad Road to Mountainview Road,WestHudsonAvenue Both directions from Conrad Road to Mountainview Road,,WestHudsonAvenue,WestHudsonAvenue,WestHudsonAvenue,Updated
1121,Closure on WestCentralAvenue WB at Maywood Avenue,Maywood Avenue,,Maywood Avenue,Maywood Avenue,Maywood Avenue,
1122,Incident on PulaskiSkyway SB at South Kearny,,South Kearny,PulaskiSkyway SB at South Kearny,South Kearny,,
1123,Cleared: Incident on Systemwide Both directions,,,on Systemwide Both directions,Incident on Systemwide Both directions,,Cleared
1124,Incident on GoethalsBridge EB,,,GoethalsBridge EB,GoethalsBridge EB,,Cleared
1125,Incident on Systemwide Both directions,,,on Systemwide Both directions,Incident on Systemwide,,
1126,Special Event on WaltWhitmanBridge WB,,from New Jersey Side to Pennsylvania Side,from New Jersey Side to Pennsylvania Side,WaltWhitmanBridge WB from New Jersey Side to Pennsylvania Side,,
1127,,,,GoethalsBridge EB,GoethalsBridge EB,,
1128,Construction on TaconicStateParkway SB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
1129,Incident on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Updated
1130,Construction on TaconicStateParkway NB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
1131,Incident on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
1132,Construction,,NarrowsRoadSouth EB,Construction on NarrowsRoadSouth EB,NarrowsRoadSouth EB,,
1133,Construction on OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,Updated
1134,Construction on HarlemRiverDrive SB from Adam Clayton Powell Jr Boulevard; Macombs Dam Bridge to START,,HarlemRiverDrive SB,Macombs Dam Bridge,Adam Clayton Powell Jr Boulevard,,
1135,,,UnionPortBridge EB at Center Span,,,,
1136,Construction,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,from Kenilworth Road to Bryant Avenue,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,Kenilworth Road to Bryant Avenue,,
1137,Construction on WestStreetArterial NB at Shonnard Street Extension,,WestStreetArterial NB at Shonnard Street Extension,Construction on WestStreetArterial NB at Shonnard Street Extension,Shonnard Street Extension,,
1138,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
1139,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,Lower Trans Manhattan Expressway to Henry Hudson Parkway,,
1140,Closure on MorningsideRoad,Mason Place to Mayfair Road,,Closure on MorningsideRoad Both directions from Mason Place to Mayfair Road,Mason Place to Mayfair Road,Mason Place to Mayfair Road,
1141,Closure on JeffersonStreet,JeffersonStreet Both directions from Main Street to Johnson Avenue,,Closure on JeffersonStreet,Closure on JeffersonStreet,JeffersonStreet Both directions from Main Street to Johnson Avenue,
1142,Incident on VerrazanonarrowsBridge WB,,,VerrazanonarrowsBridge WB,VerrazanonarrowsBridge WB at Staten Island Bound Upper Level,,Cleared
1143,Closure on WestHudsonAvenue,WestHudsonAvenue Both directions from Conrad Road to Mountainview Road,,Closure on WestHudsonAvenue,Closure on WestHudsonAvenue Both directions from Conrad Road to Mountainview Road,WestHudsonAvenue Both directions from Conrad Road to Mountainview Road,
1144,Incident on VerrazanonarrowsBridge WB at Staten Island Bound Upper Level,,,VerrazanonarrowsBridge WB at Staten Island Bound Upper Level,Staten Island Bound Upper Level,,
1145,Closure on TestHighway SB at Test Ramps,,,Closure on TestHighway SB at Test Ramps,Test Ramps,Test Ramps,Updated
1146,Incident on RFKTriboroughBridge WB,,,Manhattan Span,Manhattan Span,,
1147,Incident on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,,GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
1148,,,PortJersey,,Construction on PortJersey,,
1149,Construction,,ThrogsNeckBridge SB at Queens Bound,Construction on ThrogsNeckBridge SB at Queens Bound,Queens Bound,,
1150,Construction,,VerrazanonarrowsBridge WB at Staten Island Bound Lower Level,Staten Island,Staten Island,,
1151,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,
1152,Closure on TransitRoad Both directions at Erie Canal,,,Erie Canal,Closure on TransitRoad Both directions at Erie Canal,Erie Canal,Updated
1153,Incident on PulaskiSkyway NB at Broadway,,,PulaskiSkyway NB at Broadway,PulaskiSkyway NB at Broadway,,Updated
1154,Cleared: Incident on PortNewarkElizabethMarineTerminal,,,PortNewarkElizabethMarineTerminal,PortNewarkElizabethMarineTerminal,,Cleared
1155,Incident on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Updated
1156,,,,Closure on TestHigway SB at Test Ramp,Closure on TestHigway SB at Test Ramp,TestHigway SB at Test Ramp,
1157,Incident on PortNewarkElizabethMarineTerminal,,,PortNewarkElizabethMarineTerminal,PortNewarkElizabethMarineTerminal,,
1158,Incident on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
1159,,,RFKTriboroughBridge SB at Queens Span,,,,
1160,Incident on LincolnTunnel EB,,,LincolnTunnel EB at from New Jersey,New Jersey,,Updated
1161,Incident on PulaskiSkyway NB at South Kearny,,,PulaskiSkyway NB at South Kearny,South Kearny,,Updated
1162,Construction,,NewburghBeaconBridge WB from Dutchess County Side to Orange County Side,,Construction on NewburghBeaconBridge WB from Dutchess County Side to Orange County Side,,
1163,Incident on LincolnTunnel EB,,,LincolnTunnel EB,LincolnTunnel EB,,
1164,Construction on QueensMidtownTunnel Both directions,,QueensMidtownTunnel,Construction on QueensMidtownTunnel,Construction on QueensMidtownTunnel,,Cleared
1165,Incident on HollandTunnel EB at New Jersey,,,HollandTunnel EB at New Jersey,New Jersey,,Updated
1166,Incident on PulaskiSkyway NB at Broadway,,PulaskiSkyway NB at Broadway,PulaskiSkyway NB at Broadway,PulaskiSkyway NB at Broadway,,
1167,Closure on BrooklynBatteryTunnel,,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,BrooklynBatteryTunnel,Cleared
1168,Incident on OuterbridgeCrossing EB at New Jersey,,,New Jersey,New Jersey,,Cleared
1169,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
1170,Closure on QueensboroBridge EB at Queens Bound,,,Closure on QueensboroBridge EB at Queens Bound,Closure on QueensboroBridge EB at Queens Bound,QueensboroBridge EB at Queens Bound,Cleared
1171,Special Event,,BrooklynBatteryTunnel NB at Manhattan Bound,Manhattan Bound,Manhattan Bound,,
1172,Special Event,,,Manhattan Bound,Manhattan Bound,,
1173,,,,Brooklyn Bound Upper Level,Brooklyn Bound Upper Level,,
1174,Incident on OuterbridgeCrossing EB at New Jersey,,,New Jersey,New Jersey,,Updated
1175,Cleared: Incident on OuterbridgeCrossing EB,,,OuterbridgeCrossing EB,OuterbridgeCrossing EB,,
1176,Incident on OuterbridgeCrossing EB at New Jersey,,,New Jersey,New Jersey,,
1177,Incident on OuterbridgeCrossing EB,,,OuterbridgeCrossing EB,OuterbridgeCrossing EB,,Updated
1178,,,,OuterbridgeCrossing EB,OuterbridgeCrossing EB,,
1179,Construction on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to Northern Mixing Bowl,,NewJerseyTurnpikeEasternSpur NB,,,,Cleared
1180,Construction on GeorgeWashingtonBridge WB at Palisades Interstate Parkway Toll Plaza,,Palisades Interstate Parkway Toll Plaza,,Palisades Interstate Parkway Toll Plaza,,Updated
